Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN06611,1,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,90.0,0,Not_Canceled
INN28944,2,0,0,3,Meal Plan 1,0,Room_Type 4,48,2018,6,8,Online,0,0,0,98.87,2,Not_Canceled
INN21921,2,0,1,5,Meal Plan 1,0,Room_Type 4,124,2018,9,20,Online,0,0,0,143.1,0,Canceled
INN12669,1,0,0,2,Meal Plan 1,1,Room_Type 1,37,2017,9,16,Online,0,0,0,85.5,0,Not_Canceled
INN30837,3,0,1,3,Meal Plan 1,0,Room_Type 4,73,2018,7,4,Online,0,0,0,150.3,2,Not_Canceled
INN32952,1,0,0,1,Not Selected,0,Room_Type 1,1,2018,11,4,Online,0,0,0,140.0,1,Not_Canceled
INN07496,3,0,0,2,Meal Plan 1,0,Room_Type 1,119,2018,6,29,Online,0,0,0,146.7,2,Not_Canceled
INN19197,1,0,2,1,Meal Plan 1,0,Room_Type 1,10,2018,10,2,Online,0,0,0,149.0,0,Not_Canceled
INN27247,2,0,2,5,Meal Plan 1,0,Room_Type 1,277,2018,9,5,Offline,0,0,0,80.0,0,Canceled
INN35647,2,1,1,2,Meal Plan 1,0,Room_Type 1,4,2018,3,21,Online,0,0,0,128.0,1,Not_Canceled
INN13860,2,0,1,2,Meal Plan 1,0,Room_Type 1,11,2017,8,21,Online,0,0,0,90.0,0,Not_Canceled
INN25588,3,0,2,2,Meal Plan 1,0,Room_Type 1,186,2018,7,22,Offline,0,0,0,96.9,1,Not_Canceled
INN23476,2,0,2,3,Meal Plan 1,0,Room_Type 1,18,2018,1,15,Online,0,0,0,89.0,1,Not_Canceled
INN33401,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115.0,1,Canceled
INN18768,2,0,2,3,Meal Plan 2,0,Room_Type 1,92,2018,4,24,Online,0,0,0,97.41,1,Not_Canceled
INN14979,2,0,0,2,Not Selected,0,Room_Type 1,1,2018,10,28,Online,0,0,0,149.0,1,Not_Canceled
INN01808,3,0,0,2,Meal Plan 1,0,Room_Type 4,24,2018,7,26,Online,0,0,0,187.0,0,Not_Canceled
INN17721,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,5,9,Online,0,0,0,68.53,1,Not_Canceled
INN23932,3,0,0,4,Meal Plan 1,0,Room_Type 4,57,2018,4,5,Online,0,0,0,130.05,0,Canceled
INN27189,2,0,2,2,Meal Plan 1,0,Room_Type 1,12,2018,11,11,Online,0,0,0,86.4,3,Not_Canceled
INN31526,2,0,1,3,Meal Plan 1,0,Room_Type 1,75,2018,6,20,Offline,0,0,0,80.75,1,Not_Canceled
INN15283,2,0,1,0,Meal Plan 1,0,Room_Type 1,37,2018,9,25,Offline,0,0,0,85.5,0,Not_Canceled
INN28237,2,0,2,3,Meal Plan 1,0,Room_Type 1,250,2018,9,8,Online,0,0,0,100.3,2,Canceled
INN15413,2,0,2,3,Meal Plan 1,0,Room_Type 1,75,2018,4,1,Online,0,0,0,82.45,0,Canceled
